code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.APLE,APLE,Apple Hospitality REIT,13.745,12.511,11.882,11.82,3244748530,154749906.7,31.816,-3.16,10.42741397,14.19351508,9.863320278,5.293721596,0.524534687,True,True,True,True,True,True,True
US.APLS,APLS,Apellis Pharmaceuticals,41.03,32.781,26.259,25.968,5252712995,3801212049,147.019,-0.267,16.61005834,41.13984338,25.16396693,24.83719867,1.120609982,True,True,True,True,True,True,True
US.ARCB,ARCB,ArcBest,119.8,106.818,90.073,85.517,2667200844,197733852.2,102.003,-11.238,59.30604991,134.9676663,12.15338239,18.59047661,5.327595683,True,True,True,True,True,True,True
US.ARKO,ARKO,ARKO Corp,6.965,6.016,5.315,5.158,781373546.8,26693033.88,90.001,-5.108,3.66577018,7.339923281,15.77460106,13.18908749,3.043815432,True,True,True,True,True,True,True
US.ARM,ARM,Arm Holdings,212.325,167.874,144.229,144.046,2.259138e+11,8685141626,112.282,-11.346,100.0202561,239.4984998,26.47878766,16.39406777,0.1270427502,True,True,True,True,True,True,True
US.ARMK,ARMK,Aramark,52.49,43.445,40.151,39.818,1.380243257e+10,1331569231,50.611,-1.464,34.85137208,53.26987091,20.81942686,8.204029788,0.8363051886,True,True,True,True,True,True,True
US.AROC,AROC,Archrock,37.53,36.227,29.981,28.477,6577567698,317250262.3,81.051,-5.879,20.72896587,39.87420448,3.596764844,20.83319436,5.281455209,True,True,True,True,True,True,True
US.AROW,AROW,箭牌金融,35.36,34.719,32.199,31.06,584466111.8,11204937.87,49.311,-6.395,23.68211317,37.77575984,1.846251332,7.82633001,3.667095943,True,True,True,True,True,True,True
US.ARR,ARR,Armour住宅房产信托,16.86,16.794,16.336,15.617,2091417516,249757659.2,34.874,-7.764,12.50055607,18.27919684,0.3929974991,2.803623898,4.603957226,True,True,True,True,True,True,True
US.ARW,ARW,艾睿,210.6,165.68,136.907,133.453,1.076880903e+10,678500003.3,106.896,-2.353,101.7902714,215.6748287,27.11250604,21.01645643,2.588177111,True,True,True,True,True,True,True
US.ARWR,ARWR,Arrowhead Pharmaceuticals,78.14,66.499,60.165,51.644,1.100727191e+10,636636909.9,446.464,-5.002,14.29920361,82.25436325,17.5055264,10.52771545,16.49949655,True,True,True,True,True,True,True
US.ASC,ASC,Ardmore Shipping,18.895,16.269,13.675,13.131,770965391.5,62063895.06,109.945,-5.642,8.999976184,20.02479917,16.1411273,18.96892139,4.142868022,True,True,True,True,True,True,True
US.ASMIY,ASMIY,ASM INTERNATIONAL NV SPON ADR EACH REP 1 ORD SHS,1003.29,880.59,754.485,697.441,4.904690517e+10,25779617.77,117.082,-5.438,462.1709769,1060.986443,13.93383981,16.71404998,8.179043102,True,True,True,True,True,True,True
US.ASML,ASML,阿斯麦,1519.37,1415.56,1262.357,1152.72,5.855920377e+11,1.25118004e+10,123.476,-5.246,679.8806136,1603.489035,7.333493458,12.13626573,9.511156222,True,True,True,True,True,True,True
US.ASMVY,ASMVY,ASM太平洋(ADR),65.485,50.347,39.559,36.711,9120265818,14367238.76,236.209,-7.923,19.47746788,71.11982363,30.06733271,27.27065902,7.75789273,True,True,True,True,True,True,True
US.ASND,ASND,Ascendis Pharma A/S,242.05,231.875,219.71,213.76,1.495378849e+10,581249859.1,57.697,-3.465,153.4905547,250.7380743,4.388140162,5.536844022,2.783495509,True,True,True,True,True,True,True
US.ASRT,ASRT,Assertio,23.34,17.769,13.544,13.259,150827281.2,61218634.95,171.08,-0.085,8.610004427,23.35985588,31.35235523,31.19462493,2.14948337,True,True,True,True,True,True,True
US.ASX,ASX,日月光半导体,34.3,26.705,20.396,17.955,7.65020364e+10,1144117648,284.973,-3.948,8.909715746,35.70982385,28.44036697,30.93253579,13.59509886,True,True,True,True,True,True,True
US.ASYS,ASYS,Amtech Systems,20.94,15.197,12.497,11.18,303610902.7,38646977.73,481.343,-12.384,3.602004324,23.89974434,37.79035336,21.60518524,11.77996422,True,True,True,True,True,True,True
US.ATEN,ATEN,A10 Networks,27.88,24.714,20.221,19.574,2007309119,97357710.95,69.627,-2.274,16.43606266,28.52874363,12.81055272,22.2194748,3.305405129,True,True,True,True,True,True,True
US.ATEX,ATEX,Anterix,57.3,43.218,30.485,28.376,1073394540,82659325.34,225.938,-1.189,17.58003056,57.9894951,32.5836457,41.76808266,7.432337186,True,True,True,True,True,True,True
US.ATEYY,ATEYY,爱德万测试(ADR),170.69,164.086,148.355,133.057,1.238393379e+11,43842723.87,263.402,-13.932,46.97002218,198.3199331,4.024718745,10.6036197,11.49732821,True,True,True,True,True,True,True
