code,ticker,name,price,ma50,ma150,ma200,market_cap,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_within_25_pct_of_52w_high
US.AMX,AMX,美洲移动,26.66,25.582,23.286,22.367,8.0190614e+10,65.221,-4.1,16.13596335,27.79979145,4.213900399,9.860001718,4.108731614,True,True,True,True,True,True
US.AMZN,AMZN,亚马逊,263.224,236.69,230.549,229.413,2.831071121e+12,34.276,-5.52,196.0320534,278.6028789,11.21044404,2.663642002,0.4951768208,True,True,True,True,True,True
US.ANAB,ANAB,AnaptysBio,63.3,50.538,36.577,31.254,1842087097,455.144,-12.52,11.40244693,72.35939643,25.25228541,38.1687946,17.03141998,True,True,True,True,True,True
US.ANIK,ANIK,阿尼卡疗法,14.87,14.729,11.566,10.897,197854628.9,88.942,-8.435,7.870140043,16.23982963,0.9572951321,27.34739754,6.139304396,True,True,True,True,True,True
US.ANIOY,ANIOY,ACERINOX SA ADR EACH REPR 0.50 ORD,8.33,7.545,6.968,6.582,4153810661,56.777,-4.362,5.313279371,8.709927016,10.40424122,8.280711825,5.864478882,True,True,True,True,True,True
US.ANL,ANL,阿诺医药,13.75,11.299,6.132,5.023,885471633.8,1464.989,-20.289,0.8786004247,17.24981496,21.69218515,84.26288324,22.07843918,True,True,True,True,True,True
US.AP,AP,安博科-匹兹堡,11.1,9.05,6.092,5.257,225622917.9,534.14,-9.756,1.750402119,12.2999867,22.6519337,48.5554826,15.88358379,True,True,True,True,True,True
US.APEMY,APEMY,APERAM SA NY REGISTRY SHS,55,45.64,42.291,39.231,3978791465,97.57,-3.508,27.83823455,56.999544,20.50832603,7.918942565,7.799954118,True,True,True,True,True,True
US.APLD,APLD,Applied Digital,43.36,31.28,31.022,27.877,1.239096721e+10,584.992,-9.269,6.330000934,47.78961987,38.61892583,0.8316678486,11.28170176,True,True,True,True,True,True
US.APLE,APLE,Apple Hospitality REIT,13.75,12.511,11.882,11.82,3245928868,31.863,-3.125,10.42748914,14.19354839,9.903285109,5.293721596,0.524534687,True,True,True,True,True,True
US.APLS,APLS,Apellis Pharmaceuticals,41.03,32.781,26.259,25.968,5252712995,147.019,-0.267,16.61005834,41.13984338,25.16396693,24.83719867,1.120609982,True,True,True,True,True,True
US.APNHY,APNHY,ASPEN PHARMACARE HLDGS UNSP ADR EACH REP 1 ORD ZAR0.13906,8.815,8.168,6.932,6.683,3914058805,71.959,-0.507,5.126221948,8.859919793,7.92115573,17.83035199,3.725871615,True,True,True,True,True,True
US.APYX,APYX,Apyx Medical,4.24,3.693,3.678,3.293,177545552.2,217.602,-5.777,1.335004188,4.499962854,14.81180612,0.4078303426,11.69146675,True,True,True,True,True,True
US.ARBV,ARBV,AMERICAN RIVIERA BANCORP,26.24,25.539,23.353,22.466,150884408.3,43.231,-7.213,18.32005641,28.27982368,2.744821645,9.360681711,3.948188374,True,True,True,True,True,True
US.ARCB,ARCB,ArcBest,119.79,106.818,90.073,85.517,2666978206,101.986,-11.245,59.30609052,134.9670441,12.14402067,18.59047661,5.327595683,True,True,True,True,True,True
US.ARKO,ARKO,ARKO Corp,6.98,6.016,5.315,5.158,783056332.6,90.41,-4.904,3.665773856,7.339951207,16.02393617,13.18908749,3.043815432,True,True,True,True,True,True
US.ARM,ARM,Arm Holdings,212.525,167.878,144.231,144.047,2.261266e+11,112.482,-11.263,100.020237,239.4998704,26.59490821,16.3952271,0.1277360861,True,True,True,True,True,True
US.ARMK,ARMK,Aramark,52.49,43.445,40.151,39.818,1.380243257e+10,50.611,-1.464,34.85137208,53.26987091,20.81942686,8.204029788,0.8363051886,True,True,True,True,True,True
US.ARNNY,ARNNY,ASR NEDERLAND NV UNSPN ADR EACH REP 0.5 ORD SHS,39.18,36.053,35.243,35.01,1.602920939e+10,69.986,-2.488,23.04895697,40.17967019,8.673342024,2.298328746,0.665524136,True,True,True,True,True,True
US.AROC,AROC,Archrock,37.44,36.225,29.98,28.476,6561794154,80.617,-6.105,20.72894578,39.87432771,3.354037267,20.8305537,5.28164068,True,True,True,True,True,True
US.AROW,AROW,箭牌金融,35.52,34.722,32.2,31.06,587110754.9,49.987,-5.972,23.68205244,37.77598162,2.298254709,7.832298137,3.670315518,True,True,True,True,True,True
US.ARR,ARR,Armour住宅房产信托,16.87,16.794,16.336,15.618,2092657977,34.954,-7.709,12.50055574,18.27913881,0.4525425747,2.803623898,4.597259572,True,True,True,True,True,True
US.ARW,ARW,艾睿,210.925,165.686,136.909,133.454,1.078542756e+10,107.215,-2.202,101.7904109,215.6741447,27.30405707,21.01907106,2.588907039,True,True,True,True,True,True
US.ARWR,ARWR,Arrowhead Pharmaceuticals,77.95,66.496,60.164,51.643,1.097980479e+10,445.101,-5.239,14.30010218,82.25957936,17.22509625,10.52456619,16.49981604,True,True,True,True,True,True
US.ARZGY,ARZGY,GENERALI SPA UNSP ADR EACH REPR 0.50 ORD,22.5,21.054,20.38,20.138,6.731901e+10,31.425,-3.267,17.12003044,23.25990096,6.868053577,3.307163886,1.201708213,True,True,True,True,True,True
US.ASC,ASC,Ardmore Shipping,18.9,16.269,13.675,13.131,771169404.6,110,-5.617,9,20.0247926,16.17186059,18.96892139,4.142868022,True,True,True,True,True,True
US.ASGLY,ASGLY,艾杰旭化工(ADR),7.545,7.167,7.074,6.899,8012555841,38.95,-14.407,5.430010795,8.814973187,5.274173294,1.314673452,2.536599507,True,True,True,True,True,True
US.ASMIY,ASMIY,ASM INTERNATIONAL NV SPON ADR EACH REP 1 ORD SHS,1006.674,880.658,754.508,697.458,4.883473963e+10,116.143,-5.847,465.7444377,1069.189511,14.30930055,16.71950463,8.179704011,True,True,True,True,True,True
US.ASML,ASML,阿斯麦,1521.14,1415.595,1262.369,1152.728,5.862742269e+11,123.736,-5.135,679.8816462,1603.478628,7.455875445,12.13797234,9.511437217,True,True,True,True,True,True
US.ASMVY,ASMVY,ASM太平洋(ADR),65.485,50.347,39.559,36.711,9120265818,236.209,-7.923,19.47746788,71.11982363,30.06733271,27.27065902,7.75789273,True,True,True,True,True,True
US.ASND,ASND,Ascendis Pharma A/S,240.04,231.835,219.697,213.75,1.482961119e+10,56.388,-4.267,153.4900376,250.7390346,3.539155002,5.524881997,2.782222222,True,True,True,True,True,True
US.ASRT,ASRT,Assertio,23.34,17.769,13.544,13.259,150827281.2,171.08,-0.085,8.610004427,23.35985588,31.35235523,31.19462493,2.14948337,True,True,True,True,True,True
US.ASX,ASX,日月光半导体,34.21,26.703,20.396,17.954,7.630130219e+10,283.963,-4.2,8.909712655,35.70981211,28.11294611,30.92272995,13.60142587,True,True,True,True,True,True
US.ASYS,ASYS,Amtech Systems,20.81,15.194,12.496,11.179,301726021.3,477.734,-12.928,3.60200369,23.89976112,36.96195867,21.59090909,11.78101798,True,True,True,True,True,True
US.ATCC,ATCC,AMERITRUST CORP,0,0,0,0,723957396.2,9900,0,0,0,,,,True,True,True,True,True,True
US.ATEAY,ATEAY,ATEA ASA UNSPON ADS EACH REP ORD SHS,9.27,7.974,6.983,6.836,2063248021,75.246,0,5.28970704,9.27,16.25282167,14.19160819,2.150380339,True,True,True,True,True,True
US.ATEN,ATEN,A10 Networks,27.92,24.715,20.221,19.574,2010189046,69.87,-2.133,16.43609819,28.52851319,12.9678333,22.22442016,3.305405129,True,True,True,True,True,True
US.ATEX,ATEX,Anterix,57.15,43.215,30.484,28.375,1070584606,225.085,-1.448,17.58001753,57.98969072,32.245748,41.76289201,7.432599119,True,True,True,True,True,True
US.ATEYY,ATEYY,爱德万测试(ADR),168.73,164.047,148.342,133.047,1.224173149e+11,259.229,-14.92,46.97003861,198.319229,2.854669698,10.58702188,11.49593753,True,True,True,True,True,True
US.ATI,ATI,ATI Inc,157.66,153.634,127.839,115.191,2.151592752e+10,123.885,-7.86,70.42008174,171.1091817,2.620513688,20.17772354,10.98002448,True,True,True,True,True,True
US.ATKR,ATKR,Atkore,74.25,66.69,66.234,64.668,2507219500,41.019,-6.048,52.65247945,79.0297173,11.33603239,0.6884681583,2.421599555,True,True,True,True,True,True
US.ATOM,ATOM,Atomera,8.746,6.078,4.088,4.017,338629995.6,362.405,-23.811,1.891415534,11.47934741,43.89601843,48.67906067,1.767488175,True,True,True,True,True,True
US.ATRO,ATRO,Astronics,80.285,72.255,64.627,58.231,2877442901,194.406,-4.377,27.27016433,83.95992596,11.11341776,11.80311634,10.98384022,True,True,True,True,True,True
US.ATROB,ATROB,ASTRONICS CORP,80,72.974,56.508,50.346,2869946880,191.12,-3.614,27.48007694,82.99960575,9.628086716,29.13923692,12.23930402,True,True,True,True,True,True
US.ATS,ATS,ATS Corp,32.14,31.189,29.232,28.833,3151642872,34.787,-9.971,23.84502957,35.6996079,3.049151945,6.694718117,1.383831027,True,True,True,True,True,True
US.AUMC,AUMC,AURYN MINING CORPORATION,1.85,1.823,1.411,1.203,129500000,285.416,-13.47,0.4800008303,2.137986825,1.481075151,29.19914954,17.29010806,True,True,True,True,True,True
US.AUOTY,AUOTY,AU OPTRONICS CRP,5.965,5.342,4.615,4.613,4501844536,83.538,-8.23,3.250008173,6.499945516,11.66229876,15.75297941,0.0433557338,True,True,True,True,True,True
US.AUPH,AUPH,Aurinia Pharmaceuticals,15.47,15.303,14.836,14.123,1989467850,112.354,-8.353,7.285005227,16.87998516,1.09128929,3.147748719,5.048502443,True,True,True,True,True,True
US.AVBH,AVBH,Avidbank,29.105,28.915,27.677,26.934,318850135.5,47.367,-7.924,19.75001188,31.60975716,0.6570983918,4.473028146,2.758595084,True,True,True,True,True,True
US.AVBP,AVBP,ArriVent BioPharma,27.79,26.684,23.262,22.191,1294317249,72.608,-13.534,16.10006489,32.13980062,4.144805876,14.71068696,4.826280925,True,True,True,True,True,True
US.AVGO,AVGO,博通,426.66,369.281,354.399,345.841,2.019478021e+12,94.037,-3.578,219.8858981,442.4923773,15.53803201,4.199221781,2.474547552,True,True,True,True,True,True
US.AVNS,AVNS,Avanos Medical,24.725,18.963,14.525,13.79,1157743007,165.774,-0.742,9.303016849,24.90983095,30.38548753,30.55421687,5.329949239,True,True,True,True,True,True
US.AVR,AVR,安特瑞斯科技,7.11,5.961,5.369,5.093,692103063.3,149.473,-5.073,2.850007816,7.489965974,19.27528938,11.02626187,5.419202827,True,True,True,True,True,True
US.AVT,AVT,安富利,84.85,70.261,58.646,56.996,6959743273,94.219,-2.984,43.68779574,87.45980045,20.76400848,19.80527231,2.894939996,True,True,True,True,True,True
US.AXGN,AXGN,AxoGen,40.77,35.873,31.071,27.284,2168059884,342.43,-11.04,9.215017065,45.82958633,13.65093524,15.45492582,13.87992963,True,True,True,True,True,True
US.AXSM,AXSM,Axsome Therapeutics,228.12,183.057,166.015,153.528,1.173900182e+10,137.402,-3.304,96.09017616,235.914619,24.6169226,10.26533747,8.133369809,True,True,True,True,True,True
US.AXTI,AXTI,AXT Inc,121.68,71.955,35.073,27.157,7950879552,8706.521,-9.305,1.381703399,134.1639561,69.10569106,105.1578137,29.14902235,True,True,True,True,True,True
US.AYA,AYA,Aya Gold & Silver,19.31,16.823,15.289,14.043,2768083653,160.242,-12.227,7.420016754,21.99993164,14.78333234,10.03335732,8.872747988,True,True,True,True,True,True
US.AZLCZ,AZLCZ,AZTEC LD & CATTLE LTD,2149.95,2061.361,1742.679,1577.947,304574816.7,116.061,-0.002,995.0662082,2149.993,4.297597558,18.28690195,10.43964088,True,True,True,True,True,True
US.AZZ,AZZ,AZZ Inc,141.59,133.624,120.071,117.944,4230752951,64.522,-6.646,86.06143859,151.6699874,5.961503921,11.28748824,1.803398223,True,True,True,True,True,True
US.BACHY,BACHY,中国银行(ADR),16.545,15.764,14.819,14.518,2.132401741e+11,31.13,-2.274,12.61725006,16.92998793,4.954326313,6.376948512,2.073288332,True,True,True,True,True,True
US.BAK,BAK,Braskem,4.8,3.992,3.403,3.318,1912724189,106.896,-11.028,2.320006187,5.394955716,20.24048096,17.30825742,2.561784207,True,True,True,True,True,True
US.BAND,BAND,Bandwidth,55.247,25.588,18.276,17.573,1768863362,341.976,-1.167,12.5,55.89934536,115.9098015,40.00875465,4.000455244,True,True,True,True,True,True
US.BASFY,BASFY,巴斯夫(ADR),15.35,14.516,13.253,13.041,5.429756832e+10,37.283,-3.882,11.18128246,15.9699536,5.745384403,9.529917754,1.625642205,True,True,True,True,True,True
US.BB,BB,黑莓,6.205,4.408,4.163,4.133,3636511030,98.871,-6.127,3.120113038,6.609994354,40.76678766,5.885178957,0.7258649891,True,True,True,True,True,True
