code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.AGX,AGX,Argan,736.42,576.295,422.7,376.796,303.947,-1.603,182.3060946,748.4171265,27.78524887,36.33664537,12.18271956,True,True,True,True,True
US.AHKSY,AHKSY,旭化成(ADR),21.885,19.957,18.862,18.11,72.187,-9.266,12.71001876,24.11995503,9.660770657,5.805322871,4.152401988,True,True,True,True,True
US.AHR,AHR,American Healthcare REIT,50.97,49.814,48.268,46.421,54.826,-6.268,32.92082725,54.37844066,2.320632754,3.202950195,3.978802697,True,True,True,True,True
US.AIAGY,AIAGY,AURUBIS AG ADR EACH REPR 0.5 SHS,114.813,99.567,80.53,72.665,169.596,0,42.58705619,114.813,15.31230227,23.6396374,10.82364274,True,True,True,True,True
US.AIBGY,AIBGY,AIB GROUP PLC UNSPON ADR EACH REP 2 ORD SHS,22.42,21.45,20.096,19.11,65.234,-7.317,13.568636,24.1899809,4.522144522,6.737659236,5.159602302,True,True,True,True,True
US.AIFLY,AIFLY,AIFUL CORP ADR EACH REP 0.5 ORD NPV(已退市),1.4,1.281,1.25,1.21,47.368,-14.11,0.9500027143,1.62999185,9.289617486,2.48,3.305785124,True,True,True,True,True
US.AIIXY,AIIXY,AIXTRON SE UNSPON ADR EACH REP 2 ORD SHS,126.475,90.774,56.974,49.371,439.35,0,23.44952257,126.475,39.3295437,59.32530628,15.39972859,True,True,True,True,True
US.AIP,AIP,Arteris,36.79,21.612,17.36,15.487,434.893,-4.367,6.878011116,38.46998421,70.22950213,24.49308756,12.09401433,True,True,True,True,True
US.AIPUY,AIPUY,AIRPORTS OF THAILAND PUBLIC CO UNSP ADR EACH REP 10 ORD SHS,16,14.759,14.362,13.43,90.27,-16.623,8.409102854,19.18994447,8.408428755,2.764238964,6.939687267,True,True,True,True,True
US.AIRG,AIRG,Airgain,6.93,5.751,4.754,4.646,131,-6.223,3,7.389871717,20.50078247,20.97181321,2.324580284,True,True,True,True,True
US.AIT,AIT,应用工业技术,314.79,282.559,270.172,268.262,44.854,-0.726,217.3153658,317.0920886,11.40682123,4.584857054,0.7119905167,True,True,True,True,True
US.AKAM,AKAM,阿克迈,155.28,110.601,95.823,90.929,122.527,-6.146,69.78029632,165.4484625,40.39656061,15.42218465,5.382221294,True,True,True,True,True
US.AKO.A,AKO.A,Andina Bottling-A,23.47,22.326,22.189,21.286,32.069,-16.72,17.77101364,28.1820365,5.12407059,0.6174230475,4.242224937,True,True,True,True,True
US.AKRBY,AKRBY,AKER BP ASA UNSPON ADS EACH REP 1/2 COM,20,17.823,14.623,13.968,90.588,-13.269,10.49384012,23.05980561,12.21455423,21.88333447,4.689289805,True,True,True,True,True
US.ALB,ALB,美国雅保,191.67,182.535,153.458,134.932,263.192,-13.271,52.77373951,220.9987432,5.004519681,18.94785544,13.72987875,True,True,True,True,True
US.ALB.PRA,ALB.PRA,ALBEMARLE CORP 7.25% DEP SHS REP 1/20TH SER A,76.6,73.132,62.764,56.238,190.953,-11.894,26.32727623,86.94073048,4.742110157,16.51902364,11.60425335,True,True,True,True,True
US.ALBKY,ALBKY,ALPHA SERVICES AND HOLDINGS S.A SPN ADR EACH REP 0.25 ORD(POST REV SPLIT,1.053,1.022,0.99,0.974,66.325,-15.759,0.6330978506,1.249985162,3.033268102,3.232323232,1.642710472,True,True,True,True,True
US.ALBY,ALBY,COMMUNITY CAP BANCSHARES INC,32.65,29.869,27.912,26.121,57.427,-1.09,20.73977145,33.0098069,9.310656534,7.011321296,6.856552199,True,True,True,True,True
